BOS

Last transaction: 2018–11-03

Central Division
Chicago Bulls
Chicago Bulls rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
G	20	Alkins, Rawle (TW)	6 ft 5 in (1.96 m)	225 lb (102 kg)	1997–10–29	Arizona
G	51	Arcidiacono, Ryan	6 ft 3 in (1.91 m)	200 lb (91 kg)	1994–03–26	Villanova
G	9	Blakeney, Antonio	6 ft 4 in (1.93 m)	192 lb (87 kg)	1996–10–04	LSU
F	34	Carter, Wendell	6 ft 10 in (2.08 m)	255 lb (116 kg)	1999–04–16	Duke
G	32	Dunn, Kris Injured	6 ft 4 in (1.93 m)	205 lb (93 kg)	1994–03–18	Providence
F/C	6	Felício, Cristiano	6 ft 10 in (2.08 m)	265 lb (120 kg)	1992–07–07	CCSE Prep (CA)
G	3	Harrison, Shaquille	6 ft 4 in (1.93 m)	190 lb (86 kg)	1993–10–06	Tulsa
G	7	Holiday, Justin	6 ft 6 in (1.98 m)	181 lb (82 kg)	1989–04–05	Washington
F	15	Hutchison, Chandler	6 ft 7 in (2.01 m)	197 lb (89 kg)	1996–04–26	Boise State
G	8	LaVine, Zach	6 ft 5 in (1.96 m)	200 lb (91 kg)	1995–03–10	UCLA
C	42	Lopez, Robin	7 ft 0 in (2.13 m)	275 lb (125 kg)	1988–04–01	Stanford
F	24	Markkanen, Lauri Injured	7 ft 0 in (2.13 m)	240 lb (109 kg)	1997–05–22	Arizona
F	2	Parker, Jabari	6 ft 8 in (2.03 m)	245 lb (111 kg)	1995–05–15	Duke
G	22	Payne, Cameron	6 ft 3 in (1.91 m)	190 lb (86 kg)	1994–08–08	Murray State
F	5	Portis, Bobby Injured	6 ft 11 in (2.11 m)	250 lb (113 kg)	1995–02–10	Arkansas
G	0	Ulis, Tyler (TW)	5 ft 10 in (1.78 m)	150 lb (68 kg)	1996–01–05	Kentucky
G	45	Valentine, Denzel Injured	6 ft 6 in (1.98 m)	210 lb (95 kg)	1993–11–16	Michigan State
Head coach
Fred Hoiberg
Assistant coach(es)
Randy Brown
Nate Loenser
Pete Myers
Karen Umlauf
Jim Boylen (Associate HC)
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–10–13

Cleveland Cavaliers
Cleveland Cavaliers rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
G	8	Clarkson, Jordan	6 ft 5 in (1.96 m)	194 lb (88 kg)	1992–06–07	Missouri
F	15	Dekker, Sam Injured	6 ft 9 in (2.06 m)	230 lb (104 kg)	1994–05–06	Wisconsin
F/C	9	Frye, Channing	7 ft 0 in (2.13 m)	255 lb (116 kg)	1983–05–17	Arizona
G	55	Harrison, Andrew (TW)	6 ft 6 in (1.98 m)	213 lb (97 kg)	1994–10–28	Kentucky
G	3	Hill, George Injured	6 ft 3 in (1.91 m)	188 lb (85 kg)	1986–05–04	IUPUI
F	1	Hood, Rodney	6 ft 8 in (2.03 m)	206 lb (93 kg)	1992–10–20	Duke
G/F	26	Korver, Kyle	6 ft 7 in (2.01 m)	212 lb (96 kg)	1981–03–17	Creighton
F/C	0	Love, Kevin Injured	6 ft 10 in (2.08 m)	251 lb (114 kg)	1988–09–07	UCLA
F	22	Nance, Larry	6 ft 9 in (2.06 m)	230 lb (104 kg)	1993–01–01	Wyoming
G	12	Nwaba, David	6 ft 4 in (1.93 m)	219 lb (99 kg)	1993–01–14	Cal Poly San Luis Obispo
F	16	Osman, Cedi	6 ft 8 in (2.03 m)	215 lb (98 kg)	1995–04–08	Turkey
F	20	Preston, Billy (TW)	6 ft 10 in (2.08 m)	240 lb (109 kg)	1997–10–26	Oak Hill Academy (VA)
G	2	Sexton, Collin	6 ft 2 in (1.88 m)	190 lb (86 kg)	1999–01–04	Alabama
G/F	5	Smith, J. R.	6 ft 6 in (1.98 m)	225 lb (102 kg)	1985–09–09	St. Benedict's Prep (NJ)
F/C	13	Thompson, Tristan	6 ft 10 in (2.08 m)	238 lb (108 kg)	1991–03–13	Texas
C	41	Žižić, Ante	6 ft 11 in (2.11 m)	254 lb (115 kg)	1997–01–04	Croatia
Head coach
Larry Drew
Assistant coach(es)
Dan Geriot
Mike Gerrity
Mike Longabardi
Terry Nooner
Andrew Olson (shooting)
James Posey
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–10–14

Detroit Pistons
Detroit Pistons rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
G	6	Brown, Bruce	6 ft 5 in (1.96 m)	202 lb (92 kg)	1996–08–15	Miami (FL)
G/F	25	Bullock, Reggie	6 ft 7 in (2.01 m)	205 lb (93 kg)	1991–03–16	North Carolina
G	81	Calderón, José	6 ft 3 in (1.91 m)	200 lb (91 kg)	1981–09–28	Spain
C	0	Drummond, Andre	6 ft 11 in (2.11 m)	279 lb (127 kg)	1993–08–10	Connecticut
F	8	Ellenson, Henry	6 ft 11 in (2.11 m)	245 lb (111 kg)	1997–01–13	Marquette
G	12	Evans, Keenan (TW)	6 ft 3 in (1.91 m)	190 lb (86 kg)	1996–08–23	Texas Tech
G	9	Galloway, Langston	6 ft 2 in (1.88 m)	200 lb (91 kg)	1991–12–09	Saint Joseph's
F	23	Griffin, Blake	6 ft 10 in (2.08 m)	250 lb (113 kg)	1989–03–16	Oklahoma
G	1	Jackson, Reggie	6 ft 3 in (1.91 m)	208 lb (94 kg)	1990–04–16	Boston College
F	7	Johnson, Stanley	6 ft 7 in (2.01 m)	245 lb (111 kg)	1996–05–29	Arizona
G	5	Kennard, Luke Injured	6 ft 5 in (1.96 m)	206 lb (93 kg)	1996–06–24	Duke
F	30	Leuer, Jon	6 ft 10 in (2.08 m)	228 lb (103 kg)	1989–05–14	Wisconsin
G	18	Lofton, Zach (TW)	6 ft 4 in (1.93 m)	180 lb (82 kg)	1992–11–18	New Mexico State
C	27	Pachulia, Zaza	6 ft 11 in (2.11 m)	270 lb (122 kg)	1984–02–10	Georgia
G/F	22	Robinson, Glenn	6 ft 6 in (1.98 m)	222 lb (101 kg)	1994–01–08	Michigan
G	14	Smith, Ish	6 ft 0 in (1.83 m)	175 lb (79 kg)	1988–07–05	Wake Forest
G	13	Thomas, Khyri	6 ft 3 in (1.91 m)	210 lb (95 kg)	1996–05–08	Creighton
Head coach
Dwane Casey
Assistant coach(es)
Tim Grgurich
Sidney Lowe
Micah Nori
Sean Sweeney
DJ Bakker (player development)
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–11–18

Indiana Pacers
Indiana Pacers rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
C	13	Anigbogu, Ike	6 ft 10 in (2.08 m)	250 lb (113 kg)	1998–10–16	UCLA
F	44	Bogdanović, Bojan	6 ft 8 in (2.03 m)	216 lb (98 kg)	1989–04–18	Croatia
G	2	Collison, Darren	6 ft 0 in (1.83 m)	175 lb (79 kg)	1987–08–23	UCLA
G	12	Evans, Tyreke	6 ft 6 in (1.98 m)	220 lb (100 kg)	1989–09–19	Memphis
G	3	Holiday, Aaron	6 ft 1 in (1.85 m)	185 lb (84 kg)	1996–09–30	UCLA
F	24	Johnson, Alize (GL)	6 ft 9 in (2.06 m)	212 lb (96 kg)	1996–04–22	Missouri State
G	6	Joseph, Cory	6 ft 3 in (1.91 m)	193 lb (88 kg)	1991–08–20	Texas
F	22	Leaf, T. J.	6 ft 10 in (2.08 m)	225 lb (102 kg)	1997–04–30	UCLA
F	20	McDermott, Doug	6 ft 8 in (2.03 m)	225 lb (102 kg)	1992–01–03	Creighton
G	4	Oladipo, Victor	6 ft 4 in (1.93 m)	210 lb (95 kg)	1992–05–04	Indiana
C	10	O'Quinn, Kyle	6 ft 10 in (2.08 m)	250 lb (113 kg)	1990–03–26	Norfolk State
G	32	Reed, Davon (TW)	6 ft 5 in (1.96 m)	208 lb (94 kg)	1995–06–11	Miami (FL)
F	11	Sabonis, Domantas	6 ft 11 in (2.11 m)	240 lb (109 kg)	1996–05–03	Gonzaga
G	5	Sumner, Edmond (TW)	6 ft 6 in (1.98 m)	176 lb (80 kg)	1995–12–31	Xavier
F/C	33	Turner, Myles	6 ft 11 in (2.11 m)	250 lb (113 kg)	1996–03–24	Texas
F	21	Young, Thaddeus	6 ft 8 in (2.03 m)	221 lb (100 kg)	1988–06–21	Georgia Tech
Head coach
Nate McMillan
Assistant coach(es)
Bill Bayno
Dan Burke
Popeye Jones
David McClure (player development)
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–10–20

Milwaukee Bucks
Milwaukee Bucks rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
F	34	Antetokounmpo, Giannis	6 ft 11 in (2.11 m)	242 lb (110 kg)	1994–12–06	Greece
G	6	Bledsoe, Eric	6 ft 1 in (1.85 m)	205 lb (93 kg)	1989–12–09	Kentucky
G	13	Brogdon, Malcolm	6 ft 5 in (1.96 m)	229 lb (104 kg)	1992–12–11	Virginia
G	23	Brown, Sterling	6 ft 6 in (1.98 m)	232 lb (105 kg)	1995–02–10	SMU
G	24	Connaughton, Pat	6 ft 4 in (1.93 m)	209 lb (95 kg)	1993–01–06	Notre Dame
G	8	Dellavedova, Matthew	6 ft 4 in (1.93 m)	200 lb (91 kg)	1990–09–08	Saint Mary's
G	9	DiVincenzo, Donte	6 ft 4 in (1.93 m)	203 lb (92 kg)	1997–01–31	Villanova
G	0	Duval, Trevon (TW)	6 ft 2 in (1.88 m)	189 lb (86 kg)	1998–08–03	Duke
C	31	Henson, John Injured	6 ft 11 in (2.11 m)	219 lb (99 kg)	1990–12–28	North Carolina
F	77	İlyasova, Ersan	6 ft 10 in (2.08 m)	235 lb (107 kg)	1987–05–15	Turkey
C	11	Lopez, Brook	7 ft 0 in (2.13 m)	270 lb (122 kg)	1988–04–01	Stanford
F	7	Maker, Thon	7 ft 1 in (2.16 m)	221 lb (100 kg)	1997–02–25	Orangeville Prep (CAN)
G	20	Meeks, Jodie (S)	6 ft 4 in (1.93 m)	210 lb (95 kg)	1987–08–21	Kentucky
F	22	Middleton, Khris	6 ft 8 in (2.03 m)	222 lb (101 kg)	1991–08–12	Texas A&M
G	30	Morris, Jaylen (TW)	6 ft 5 in (1.96 m)	185 lb (84 kg)	1995–09–19	Molloy
G	21	Snell, Tony	6 ft 7 in (2.01 m)	213 lb (97 kg)	1991–11–10	New Mexico
F	5	Wilson, D. J. Injured	6 ft 10 in (2.08 m)	231 lb (105 kg)	1996–02–19	Michigan
F	35	Wood, Christian	6 ft 10 in (2.08 m)	214 lb (97 kg)	1995–09–27	UNLV
Head coach
Mike Budenholzer
Assistant coach(es)
Vin Baker
Darvin Ham
Taylor Jenkins
Charles Lee
Josh Longstaff
Patrick St. Andrews
Ben Sullivan
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–11–20

Southeast Division
Atlanta Hawks
Atlanta Hawks rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
G	10	Adams, Jaylen (TW)	6 ft 2 in (1.88 m)	190 lb (86 kg)	1996–05–04	St. Bonaventure
G/F	1	Anderson, Justin Injured	6 ft 6 in (1.98 m)	230 lb (104 kg)	1993–11–19	Virginia
G	24	Bazemore, Kent	6 ft 5 in (1.96 m)	201 lb (91 kg)	1989–07–01	Old Dominion
F	95	Bembry, DeAndre'	6 ft 6 in (1.98 m)	210 lb (95 kg)	1994–07–04	Saint Joseph's
G/F	15	Carter, Vince	6 ft 6 in (1.98 m)	220 lb (100 kg)	1977–01–26	North Carolina
F/C	20	Collins, John	6 ft 10 in (2.08 m)	235 lb (107 kg)	1997–09–23	Wake Forest
C	14	Dedmon, Dewayne	7 ft 0 in (2.13 m)	245 lb (111 kg)	1989–08–12	Southern California
G	2	Dorsey, Tyler	6 ft 5 in (1.96 m)	183 lb (83 kg)	1996–02–18	Oregon
G/F	5	Hamilton, Daniel	6 ft 7 in (2.01 m)	195 lb (88 kg)	1995–08–08	Connecticut
G	3	Huerter, Kevin	6 ft 7 in (2.01 m)	190 lb (86 kg)	1998–08–27	Maryland
C	25	Len, Alex	7 ft 1 in (2.16 m)	250 lb (113 kg)	1993–06–16	Maryland
G	7	Lin, Jeremy	6 ft 3 in (1.91 m)	200 lb (91 kg)	1988–08–23	Harvard
C	18	Plumlee, Miles	6 ft 11 in (2.11 m)	249 lb (113 kg)	1988–09–01	Duke
F	22	Poythress, Alex (TW)	6 ft 9 in (2.06 m)	235 lb (107 kg)	1993–09–06	Kentucky
F	12	Prince, Taurean	6 ft 8 in (2.03 m)	220 lb (100 kg)	1994–03–22	Baylor
F	6	Spellman, Omari	6 ft 9 in (2.06 m)	245 lb (111 kg)	1997–07–21	Villanova
G	11	Young, Trae	6 ft 2 in (1.88 m)	180 lb (82 kg)	1998–09–19	Oklahoma
Head coach
Lloyd Pierce
Assistant coach(es)
Greg Foster
Marlon Garnett
Matt Hill
Melvin Hunt
Chris Jent
Pete Radulovic (player development)
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–11–03

Charlotte Hornets
Charlotte Hornets rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
G/F	7	Bacon, Dwayne	6 ft 7 in (2.01 m)	221 lb (100 kg)	1995–08–30	Florida State
G/F	5	Batum, Nicolas	6 ft 8 in (2.03 m)	200 lb (91 kg)	1988–12–14	France
C	8	Biyombo, Bismack	6 ft 9 in (2.06 m)	255 lb (116 kg)	1992–08–28	DR Congo
F	0	Bridges, Miles	6 ft 7 in (2.01 m)	225 lb (102 kg)	1998–03–21	Michigan State
G	31	Chealey, Joe (TW)	6 ft 3 in (1.91 m)	190 lb (86 kg)	1995–11–01	College of Charleston
G	4	Graham, Devonte'	6 ft 2 in (1.88 m)	185 lb (84 kg)	1995–02–22	Kansas
C	41	Hernangómez, Willy	6 ft 11 in (2.11 m)	240 lb (109 kg)	1994–05–27	Spain
F/C	44	Kaminsky, Frank	7 ft 0 in (2.13 m)	242 lb (110 kg)	1993–04–04	Wisconsin
F	14	Kidd-Gilchrist, Michael Injured	6 ft 7 in (2.01 m)	232 lb (105 kg)	1993–09–26	Kentucky
G	3	Lamb, Jeremy	6 ft 5 in (1.96 m)	185 lb (84 kg)	1992–05–30	Connecticut
G	55	Macura, J. P. (TW)	6 ft 5 in (1.96 m)	205 lb (93 kg)	1995–06–05	Xavier
G	1	Monk, Malik	6 ft 3 in (1.91 m)	200 lb (91 kg)	1998–02–04	Kentucky
G	9	Parker, Tony	6 ft 2 in (1.88 m)	185 lb (84 kg)	1982–05–17	France
G	15	Walker, Kemba	6 ft 1 in (1.85 m)	184 lb (83 kg)	1990–05–08	Connecticut
F	2	Williams, Marvin	6 ft 9 in (2.06 m)	237 lb (108 kg)	1986–06–19	North Carolina
F/C	40	Zeller, Cody	7 ft 0 in (2.13 m)	240 lb (109 kg)	1992–10–05	Indiana
Head coach
James Borrego
Assistant coach(es)
Dutch Gaitley
Jay Hernandez
Chad Iske
Nathaniel Mitchell
Ronald Nored
Jay Triano
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–11–20

Miami Heat
Miami Heat rostervte
Players	Coaches
Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From
F/C	13	Adebayo, Bam	6 ft 10 in (2.08 m)	255 lb (116 kg)	1997–07–18	Kentucky
G	7	Dragić, Goran Injured	6 ft 3 in (1.91 m)	190 lb (86 kg)	1986–05–06	Slovenia
G	2	Ellington, Wayne	6 ft 5 in (1.96 m)	200 lb (91 kg)	1987–11–29	North Carolina
F	40	Haslem, Udonis	6 ft 8 in (2.03 m)	235 lb (107 kg)	1980–06–09	Florida
F	16	Johnson, James	6 ft 8 in (2.03 m)	240 lb (109 kg)	1987–02–20	Wake Forest
G	8	Johnson, Tyler	6 ft 4 in (1.93 m)	190 lb (86 kg)	1992–05–07	Fresno State
G/F	5	Jones, Derrick	6 ft 7 in (2.01 m)	200 lb (91 kg)	1997–02–15	UNLV
F	00	Maten, Yante (TW)	6 ft 8 in (2.03 m)	240 lb (109 kg)	1996–08–14	Georgia
G/F	17	McGruder, Rodney	6 ft 4 in (1.93 m)	200 lb (91 kg)	1991–07–29	Kansas State
F	9	Olynyk, Kelly	7 ft 0 in (2.13 m)	240 lb (109 kg)	1991–04–19	Gonzaga
G/F	0	Richardson, Josh	6 ft 6 in (1.98 m)	200 lb (91 kg)	1993–09–15	Tennessee
F	55	Robinson, Duncan (TW)	6 ft 8 in (2.03 m)	210 lb (95 kg)	1994–04–22	Michigan
G	3	Wade, Dwyane	6 ft 4 in (1.93 m)	220 lb (100 kg)	1982–01–17	Marquette
G	11	Waiters, Dion Injured	6 ft 4 in (1.93 m)	215 lb (98 kg)	1991–12–10	Syracuse
C	21	Whiteside, Hassan	7 ft 0 in (2.13 m)	265 lb (120 kg)	1989–06–13	Marshall
F	20	Winslow, Justise	6 ft 7 in (2.01 m)	225 lb (102 kg)	1996–03–26	Duke
Head coach
Erik Spoelstra
Assistant coach(es)
Dan Craig
Juwan Howard
Octavio De La Grana (Player Development)
Chris Quinn (Player Development)
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
Last transaction: 2018–11–20

Orlando Magic
Orlando Magic rostervte
Players	Coaches
